Title,Developer,Publisher,MVS release date,AES release date
Puzzle De Pon!,Visco (Taito licensed),"Visco, SNK",1995-11-28,N/A
Puzzle Bobble 2 (Bust-a-Move Again),Taito/SNK,"Taito, SNK",1999,N/A
Puzzle Bobble (Bust-a-Move),Taito,"Taito, SNK",1994-12-21,N/A
Pulstar,Aicom,"Aicom, SNK",1995-08-28,1995-09-29
Prehistoric Isle 2 (Kenshi Shima 2 / Genshi-tō 2),Yumekobo,"Yumekobo, SNK",1999-09-27,N/A
Power Spikes II,Video System,"Taito, SNK",1994-10-19,TBA
Power Instinct Matrimelee (Shin Gōketsuji Ichizoku: Tōkon Matrimelee),Noise Factory/Atlus,"Atlus/Playmore, Sun Amusement",2003-03-20,2003-05-29
Pop'n Bounce (Gapporin),Video System,"Visco, SNK",1997,N/A
Pochi & Nyaa (Pochitto Nyā),Aiky/Taito,"Taito, SNK Playmore",2003-12-24,TBA
Pleasure Goal: 5 on 5 Mini Soccer (Futsal: 5 on 5 Mini Soccer),Saurus,"Saurus, SNK",1996-07-19,TBA
Over Top,ADK,"ADK, SNK",1996-05-24,1996-06-07
Ninja Master's: Haō Ninpō Chō,ADK/SNK,"ADK, SNK",1996-05-27,1996-06-28
Ninja Commando,Alpha Denshi,"Alpha Denshi, SNK",1992-04-30,1992-05-29
Ninja Combat,Alpha Denshi,"Alpha Denshi, SNK",1990-07-24,1991-07-01
Nightmare in the Dark,Eleven/AM Factory,"Eleven/Gavaking, SNK",2000-01-27,N/A
Neo Turf Masters (Big Tournament Golf),Nazca Corporation,"Nazca Corporation, SNK",1996-01-29,1996-03-01
Neo Mr. Do!,Visco (Universal licensed),"Visco, SNK",1996-06-26,TBA
Neo Geo Cup '98: The Road to the Victory,SNK,SNK,1998-05-28,1998-07-30
Neo Drift Out: New Technology,Visco,"Visco, SNK",1996-03-28,TBA
Neo Bomberman,Hudson Soft,"Hudson Soft, SNK",1997-05-01,TBA
NAM-1975,SNK,SNK,1990-04-26,1991-07-01
Mutation Nation,SNK,SNK,1992-03-16,1992-04-17
Money Idol Exchanger (Money Puzzle Exchanger),Face,"Face, SNK",1997-01-17,N/A
Minnasan no Okagesama Desu! Dai Sugoroku Taikai,Monolith,"Monolith, SNK",1990-07-25,1991-07-01
Metal Slug X (Super Vehicle-001 Metal Slug X),SNK,SNK,1999-03-19,1999-05-27
Metal Slug 5,SNK Playmore,SNK Playmore,2003-11-13,2004-02-19
Metal Slug 4,Mega/Noise Factory,"Playmore, Sun Amusement/BrezzaSoft",2002-03-27,2002-06-13
Metal Slug 3,SNK,SNK,2000-03-23,2000-06-01
Metal Slug 2 (Super Vehicle-001 Metal Slug II),SNK,SNK,1998-02-23,1998-04-02
Metal Slug (Super Vehicle-001 Metal Slug),Nazca Corporation,"Nazca Corporation, SNK",1996-04-19,1996-05-24
Mahjong Kyōretsuden: Nishi Nihon Hen,SNK,SNK,1990-04-26,1991-07-01
Magician Lord,Alpha Denshi,"Alpha Denshi, SNK",1990-04-26,1991-07-01
Magical Drop III,Data East,"Data East, SNK",1997-02-25,1997-04-25
Magical Drop II,Data East (Russ Ltd.licensed),"Data East, SNK",1996-03-21,1996-04-19
Legend of Success Joe (Ashita No Jō Densetsu),Wave,"Wave, SNK",1991-08-30,TBA
League Bowling,SNK,SNK,1990-12-10,1991-07-01
Last Resort,SNK,SNK,1992-03-23,1992-04-24
Kizuna Encounter (Fūun Super Tag Battle),SNK,SNK,1996-09-20,1996-11-08
King of the Monsters 2: The Next Thing,SNK,SNK,1992-05-25,1992-06-01
King of the Monsters,SNK,SNK,1991-02-25,1991-07-01
Karnov's Revenge (Fighter's History Dynamite),Data East,"Data East, SNK",1994-03-17,1994-04-28
Janshin Densetsu: Quest of Jongmaster,Aicom/Yubis,"Aicom, SNK",1994-06-29,N/A
Gururin,Face,"Face, SNK",1994-05-25,TBA
Goal! Goal! Goal!,Visco,"Visco, SNK",1995,TBA
Ghost Pilots,SNK,SNK,1991-01-25,1991-07-01
Garou: Mark of the Wolves (Garō MARK OF THE WOLVES),SNK,SNK,1999-11-26,2000-02-25
Ganryu (Musashi Ganryuki),Visco,"Visco, SNK",1999,N/A
Galaxy Fight: Universal Warriors,Sunsoft,"Sunsoft, SNK",1995-01-24,1995-02-25
Football Frenzy,SNK,SNK,1992-01-31,1992-02-21
Fight Fever (Wang Jung Wang),Viccom,"Viccom, SNK",1994-06-28,N/A
Fatal Fury: King of Fighters (Garō Densetsu: Shukumei no Tatakai),SNK,SNK,1991-11-25,1991-12-01
Fatal Fury Special (Garō Densetsu Special),SNK,SNK,1993-09-16,1993-12-22
Fatal Fury 3: Road to the Final Victory (Garō Densetsu 3: Harukanaru Tatakai),SNK,SNK,1995-03-27,1995-04-21
